key:ID,source,local_id,title,author_list,last_updated,publication_year,url,doi,scopus_eid,orcid_work_type,type,:LABEL
researchgraph.org/nci/10.1175/1520-0426,nci.org.au,10.1175/1520-0426,Efficient Inverse Modeling of Barotropic Ocean Tides,"Egbert, G.D., Erofeeva, S.Y.,",2002,2002,,10.1175/1520-0426,,,publication,publication
researchgraph.org/nci/10.4225/25/575F683E2A3AF,nci.org.au,10.4225/25/575F683E2A3AF,Intertidal Extents Model (25m) v 1.0 Product Description.,"Geoscience Australia,",2016,2016,,10.4225/25/575F683E2A3AF,,,publication,publication
researchgraph.org/nci/10.1016/j.rse.2012.06.018,nci.org.au,10.1016/j.rse.2012.06.018,A physics-based atmospheric and BRDF correction for Landsat data over mountainous terrain.,"Li, F., Jupp, D.L.B., Thankappan, M., Lymburner, L., Mueller, N., Lewis, A., Held, A.,",2012,2012,,10.1016/j.rse.2012.06.018,,,publication,publication
researchgraph.org/nci/10.1016/j.rse.2017.04.009,nci.org.au,10.1016/j.rse.2017.04.009,Extracting the intertidal extent and topography of the Australian coastline from a 28 year time series of Landsat observations.,"Sagar, S., Roberts, D., Bala, B., Lymburner, L.,",2017,2017,,10.1016/j.rse.2017.04.009,,,publication,publication
researchgraph.org/nci/10.1080/01431169608948714,nci.org.au,10.1080/01431169608948714,The use of the Normalized Difference Water Index (NDWI) in the delineation of open water features.,"McFeeters, S.K.,",1996,1996,,10.1080/01431169608948714,,,publication,publication
researchgraph.org/nci/10.3390/rs4113417,nci.org.au,10.3390/rs4113417,Continental Scale Mapping of Tidal Flats across East Asia Using the Landsat Archive.,"Murray, N.J., Phinn, S.R., Clemens, R.S., Roelfsema, C.M., Fuller, R.A.,",2012,2012,,10.3390/rs4113417,,,publication,publication
researchgraph.org/nci/10.1016/S0034-4257(02)00059-7,nci.org.au,10.1016/S0034-4257(02)00059-7,"Waterline extraction from Landsat TM data in a tidal flat: A case study in Gomso Bay, Korea.","Ryu, J.-H., Won, J.-S., Min, K.D.,",2002,2002,,10.1016/S0034-4257(02)00059-7,,,publication,publication
researchgraph.org/nci/10.1007/s003820100156,nci.org.au,10.1007/s003820100156,An Analogue based method to downscale surface air temperature: Application for Australia,Timbal B. and B.J. McAvaney.,2001,2001,https://link.springer.com/article/10.1007%2Fs003820100156,10.1007/s003820100156,,,publication,publication
researchgraph.org/nci/10.1007/s00382-002-0298-9,nci.org.au,10.1007/s00382-002-0298-9,An estimate of climate change for Western France using a statistical downscaling technique,"Timbal, B., A. Dufour and B.J. McAvaney.",2003,2003,https://link.springer.com/article/10.1007%2Fs00382-002-0298-9,10.1007/s00382-002-0298-9,,,publication,publication
researchgraph.org/nci/10.1016/j.envsoft.2008.07.007,nci.org.au,10.1016/j.envsoft.2008.07.007,Generalization of a statistical downscaling model to provide local climate change projections for Australia,"Timbal, B., E. Fernandez and Z. Li.",2009,2009,http://www.sciencedirect.com/science/article/pii/S1364815208001333,10.1016/j.envsoft.2008.07.007,,,publication,publication
researchgraph.org/nci/10.1.1.624.6905,nci.org.au,10.1.1.624.6905,High-quality spatial climate data-sets for Australia,"David A. Jones, William Wang and Robert Fawcett",2009,2009,http://www.bom.gov.au/amm/docs/2009/jones.pdf,10.1.1.624.6905,,,publication,publication
researchgraph.org/nci/10.1371/journal.pone.0117066,nci.org.au,10.1371/journal.pone.0117066,Effects of City Expansion on Heat Stress under Climate Change Conditions.,"Argueso D, Evans JP, Pitman AJ, Di Luca A.",2015,2015,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4323111/,10.1371/journal.pone.0117066,,,publication,publication
researchgraph.org/nci/10.1175/JCLI-D-14-00753.1,nci.org.au,10.1175/JCLI-D-14-00753.1,A Multiregion Assessment of Observed Changes in the Areal Extent of Temperature and Precipitation Extremes.,"Andrea J. Dittus, David J. Karoly, Sophie C. Lewis, and Lisa V. Alexander,",2015,2015,http://journals.ametsoc.org/doi/10.1175/JCLI-D-14-00753.1,10.1175/JCLI-D-14-00753.1,,,publication,publication
researchgraph.org/nci/10.1175/JCLI-D-16-0164.1,nci.org.au,10.1175/JCLI-D-16-0164.1,A multiregion model evaluation and attribution study of historical changes in the area affected by temperature and precipitation extremes.,"Andrea J. Dittus, David J. Karoly, Sophie C. Lewis, Lisa V. Alexander, and Markus G. Donat,",2016,2016,http://journals.ametsoc.org/doi/10.1175/JCLI-D-16-0164.1,10.1175/JCLI-D-16-0164.1,,,publication,publication
researchgraph.org/nci/10.1175/ BAMS-87-10-1381,nci.org.au,10.1175/ BAMS-87-10-1381,GSWP-2: Multimodel Analysis and Implications for Our Perception of the Land Surface.,"P. A. Dirmeyer, X. Gao, M. Zhao, Z. Guo, T. Oki, N. Hanasaki,",2006,2006,http://journals.ametsoc.org/doi/pdf/10.1175/BAMS-87-10-1381,10.1175/ BAMS-87-10-1381,,,publication,publication
researchgraph.org/nci/10.3178/HRL.2.9,nci.org.au,10.3178/HRL.2.9,A 59-year (1948-2006) global meteorological forcing data set for land surface models. Part II: Global snowfall estimation,"Y. Hirabayashi, S. Kanae, K. Motoya, K. Masuda and P. D__ll,",2008,2008,https://www.uni-frankfurt.de/45217799/Hirabayashi_et_al_HRL2008_daily_climate_data.pdf,10.3178/HRL.2.9,,,publication,publication
researchgraph.org/nci/10.1007/s13143-012-0033-3,nci.org.au,10.1007/s13143-012-0033-3,Spectral nudging sensitivity experiments in a regional climate model,"S-.Y. Hong and E-.C. Chang,",2012,2012,https://link.springer.com/article/10.1007/s13143-012-0033-3,10.1007/s13143-012-0033-3,,,publication,publication
researchgraph.org/nci/10.1111/j.1365-2486.2006.01150.x,nci.org.au,10.1111/j.1365-2486.2006.01150.x,"The underpinnings of land-use history: three centuries of global gridded land-use transitions, wood-harvest activity, and resulting secondary lands","G.C. Hurtt, S. Frolking, M.G. Fearon, B. Moore, E. Shevliakova, S. Malyshev, S.W. Pacala, R.A. Houghton,",2006,2006,http://onlinelibrary.wiley.com/doi/10.1111/j.1365-2486.2006.01150.x/abstract,10.1111/j.1365-2486.2006.01150.x,,,publication,publication
researchgraph.org/nci/10.1175/2011JHM1369.1,nci.org.au,10.1175/2011JHM1369.1,Creation of the WATCH Forcing Data and Its Use to Assess Global and Regional Reference Crop Evaporation over Land during the Twentieth Century,"G. P. Weedon, and Coauthors,",2011,2011,http://journals.ametsoc.org/doi/abs/10.1175/2011JHM1369.1,10.1175/2011JHM1369.1,,,publication,publication
researchgraph.org/nci/10.1175/2008MWR2281.1,nci.org.au,10.1175/2008MWR2281.1,Dynamical Global Downscaling of Global Reanalysis,"K. Yoshimura, M. Kanamitsu",2008,2008,http://journals.ametsoc.org/doi/abs/10.1175/2008MWR2281.1,10.1175/2008MWR2281.1,,,publication,publication
researchgraph.org/nci/10.1175/MWR-D-12-00271.1,nci.org.au,10.1175/MWR-D-12-00271.1,Incremental Correction for the Dynamical Downscaling of Ensemble Mean Atmospheric Fields.,"K. Yoshimura, M. Kanamitsu",2013,2013,http://journals.ametsoc.org/doi/abs/10.1175/MWR-D-12-00271.1,10.1175/MWR-D-12-00271.1,,,publication,publication
researchgraph.org/nci/10.1002/2015JC011486,nci.org.au,10.1002/2015JC011486,"Sources, fate, and pathways of Leeuwin Current water in the Indian Ocean and Great Australian Bight: A Lagrangian study in an eddy-resolving ocean model","Yit Sen Bull, C., and E. van Sebille",2016,2016,http://onlinelibrary.wiley.com/doi/10.1002/2015JC011486/abstract;jsessionid=1DE8CF586D805E583A241E790B23FFF2.f02t03,10.1002/2015JC011486,,,publication,publication
researchgraph.org/nci/10.5194/hess-17-3707-2013,nci.org.au,10.5194/hess-17-3707-2013,Benchmark products for land evapotranspiration: LandFlux-EVAL multi-data set synthesis,"Mueller, B., Hirschi, M., Jimenez, C., Ciais, P., Dirmeyer, P. A., Dolman, A. J., Fisher, J. B., Jung, M., Ludwig, F., Maignan, F., Miralles, D. G., McCabe, M. F., Reichstein, M., Sheffield, J., Wang, K., Wood, E. F., Zhang, Y., and Seneviratne, S. I.",2013,2013,https://www.hydrol-earth-syst-sci.net/17/3707/2013/hess-17-3707-2013.html,10.5194/hess-17-3707-2013,,,publication,publication
researchgraph.org/nci/10.5194/gmd-6-591-2013,nci.org.au,10.5194/gmd-6-591-2013,Evaluation of a near-global eddy-resolving ocean model,"Oke, P. R., Griffin, D. A., Schiller, A., Matear, R. J., Fiedler, R., Mansbridge, J., Lenton, A., Cahill, M., Chamberlain, M. A., and Ridgway, K.,",2013,2013,https://www.geosci-model-dev.net/6/591/2013/,10.5194/gmd-6-591-2013,,,publication,publication